Content ID,title,description,icon,order
project-management,プロジェクトの進め方,発注側の技術④：プロジェクトを成功に導く進行管理技術,📋,4
communication,プロジェクト管理とコミュニケーション,発注側の技術⑤：可視化と意思疎通の技術,💬,5
